Freq MHz req,Freq MHz act,IRQ /s,RC6 %,Power W gpu,Power W pkg,RCS %,RCS se,RCS wa,BCS %,BCS se,BCS wa,VCS %,VCS se,VCS wa,VECS %,VECS se,VECS wa
1408.635474,1224.900413,1102.410371,0.000000,2.612931,16.481280,19.680065,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1507.472323,1306.163907,1142.308220,0.000000,3.373752,10.855611,29.351238,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1498.627310,1298.810335,1142.431833,0.000000,3.245424,10.294101,27.721372,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1474.764975,1278.129645,1059.149391,0.000000,3.260089,10.811048,27.678987,0.000000,0.000000,0.000000,0.000000,0.000000,99.527097,0.000000,0.000000,0.000000,0.000000,0.000000
1498.039787,1302.643293,1037.462337,0.000000,2.796376,10.325976,25.194821,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1522.840623,1319.795207,971.086774,0.000000,2.726979,9.239722,25.406372,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1497.088846,1297.477000,1045.792498,0.000000,2.698345,9.381437,25.569446,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1478.396720,1277.005216,1176.309464,0.000000,2.838605,9.943080,27.364210,0.000000,0.000000,0.000000,0.000000,0.000000,99.849545,0.000000,0.000000,0.000000,0.000000,0.000000
1515.399230,1313.345999,1194.749538,0.000000,2.828666,10.574186,26.051122,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504.909537,1303.957225,1161.057803,0.000000,2.847424,9.440082,24.136363,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504.736616,1304.105068,1147.089073,0.000000,3.125817,12.208575,26.844171,0.000000,0.000000,0.000000,0.000000,0.000000,99.526192,0.000000,0.000000,0.000000,0.000000,0.000000
1498.574079,1299.073505,1076.375190,0.000000,3.061128,10.204797,26.459592,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1478.275342,1281.171963,1115.605125,0.000000,2.852609,9.701663,25.654300,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523.579694,1320.147178,1095.072905,0.000000,2.798740,10.306253,25.670968,0.000000,0.000000,0.000000,0.000000,0.000000,99.585183,0.000000,0.000000,0.000000,0.000000,0.000000
1478.971897,1282.067354,1194.554224,0.000000,2.820514,9.339666,27.093760,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1494.560010,1294.989682,1215.161551,0.000000,2.719297,9.223848,26.150687,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1524.354169,1321.106947,1157.625485,0.000000,2.679259,9.608117,24.824110,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1478.828503,1285.747037,1140.935937,0.000000,2.909228,11.076601,27.290040,0.000000,0.000000,0.000000,0.000000,0.000000,99.618457,0.000000,0.000000,0.000000,0.000000,0.000000
1521.052678,1318.245655,1106.620934,0.000000,2.837335,9.944935,25.270272,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1478.892891,1277.623444,1120.108225,0.000000,2.924248,10.045259,26.211215,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1511.072011,1313.602373,1081.790190,0.000000,2.878473,9.241717,25.706392,0.000000,0.000000,0.000000,0.000000,0.000000,99.503679,0.000000,0.000000,0.000000,0.000000,0.000000
1196.993392,1037.394273,574.556828,0.000000,1.750242,9.041255,13.359863,0.000000,0.000000,0.000000,0.000000,0.000000,79.233883,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,3.934138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,2.936103,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,2.963730,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
